District,total_crime,risk_score
Kalaburgi,2555.0,5.693847079535578
Kalaburgi City,2112.0,4.706616450872462
Kalahandi,4106.0,9.150268535645042
Kalimpong,319.0,0.7108951931005281
Kallakurichi,3644.0,8.120696187016692
Kamareddy ,3507.0,7.815390100951575
Kameng East,130.0,0.2897065050252936
Kameng West,89.0,0.19833753036347024
Kamjong,8.0,0.017828092616941148
Kamle,22.0,0.04902725469658815
Kamrup,4308.0,9.600427874222808
Kanchipuram,6409.0,14.282530697746976
Kandhamal,2291.0,5.1055200231765205
Kangpokpi,1126.0,2.509304035834466
Kangra,1901.0,4.2364005081006395
Kanker,1182.0,2.6341006841530543
Kannauj,3902.0,8.695652173913043
Kannur City,4085.0,9.103469792525571
Kannur Rural,4211.0,9.384262251242395
Kanpur Commissionarate,10652.0,23.738105319457134
Kanpur Dehat,3281.0,7.3117464845229865
Kanyakumari,4521.0,10.075100840148865
Kapurthala,1407.0,3.135515789004524
Karaikal,474.0,1.056314487553763
Karauli,4084.0,9.101241280948456
Karbi Anglong,448.0,0.9983731865487041
Kargil,168.0,0.37438994495576405
Karimganj,2190.0,4.880440353887638
Karimnagar Commissionerate,4585.0,10.217725581084395
Karnal,9805.0,21.850556013638492
Karur,2197.0,4.896039934927462
Kasargod,3290.0,7.331803088717045
Kasganj,3142.0,7.0019833753036345
Kathua,1391.0,3.0998596037706414
Katihar,4200.0,9.3597486238941
Katihar Railway,519.0,1.1565975085240567
Katni,4838.0,10.781539010095157
Kaushambi,3381.0,7.534597642234751
Kekri,1968.0,4.3857107837675215
Kendrapara,7369.0,16.42190181177991
Keonjhar,5586.0,12.448465669779155
Khagaria,4327.0,9.642769594188042
Khairagarh - Chhuikhadan-Gandai,933.0,2.079201301450761
Khairtal-Tijara,2041.0,4.54839212889711
Khammam Commissionerate,5436.0,12.114188933211507
Khandwa,4478.0,9.979274842332805
Khanna,1155.0,2.573930871570878
Kharagpur GRP,276.0,0.6150691952844696
Khargone,4126.0,9.194838767187395
Khasi Hills East,1227.0,2.7343837051233484
Khasi Hills Eastern West,42.0,0.09359748623894101
Khasi Hills South West,51.0,0.11365409043299979
Khasi Hills West,74.0,0.1649098567067056
Khawzawl,38.0,0.08468343993047044
Kheda,3894.0,8.677824081296102
Khiri,6417.0,14.300358790363916
Khunti,530.0,1.1811111358723507
Khurda,4613.0,10.280123905243688
Kinnaur,268.0,0.5972411026675284
Kiphire,16.0,0.035656185233882295
Kishanganj,1749.0,3.8976667483787577
Kishtwar,424.0,0.9448889086978807
Kodagu,1576.0,3.5121342455374056
Koderma,964.0,2.148285160341408
Kohima,114.0,0.2540503197914113
Kokrajhar,869.0,1.9365765605152316
Kolar,2552.0,5.6871615448042245
Kolasib,182.0,0.40558910703541107
Kolhapur,9426.0,21.005950125910903
Kolkata,10943.0,24.386602188398367
Kollam Commr,11191.0,24.939273059523543
Kollam Rural,8672.0,19.3256523967642
Kondagaon,722.0,1.6089853586789382
Koppal,1819.0,4.053662558776993
Koraput,3154.0,7.028725514229047
Korba,3101.0,6.910614400641811
Koriya,835.0,1.860807166893232
